CCTV4欧洲,${replace}/608807419
CCTV4美洲,${replace}/608807416
CGTN外语纪录,${replace}/609006487
CGTN阿拉伯语,${replace}/609154345
CGTN西班牙语,${replace}/609006450
CGTN法语,${replace}/609006476
CGTN俄语,${replace}/609006446
老故事,${replace}/884121956
发现之旅,${replace}/624878970
中学生,${replace}/708869532
CGTN,${replace}/609017205
赛事最经典,${replace}/646596895
体坛名栏汇,${replace}/629943305
四海钓鱼,${replace}/637444975
陕西体育休闲频道,${replace}/956909356
24小时城市联赛轮播台,${replace}/915512915
武术世界,${replace}/958475359
辽宁广播电视台体育休闲频道,${replace}/962067526
海峡卫视,${replace}/849119120
中国农林卫视,${replace}/956904896
兵团卫视,${replace}/956923145
上视东方影视,${replace}/617290047
南京新闻综合频道,${replace}/838109047
南京教科频道,${replace}/838153729
南京十八频道,${replace}/838151753
体育休闲频道,${replace}/626064707
江苏城市频道,${replace}/626064714
江苏国际,${replace}/626064674
江苏教育,${replace}/628008321
江苏影视频道,${replace}/626064697
江苏综艺频道,${replace}/626065193
公共新闻频道,${replace}/626064693
盐城新闻综合,${replace}/639731825
淮安新闻综合,${replace}/639731826
泰州新闻综合,${replace}/639731818
连云港新闻综合,${replace}/639731715
宿迁新闻综合,${replace}/639731832
徐州新闻综合,${replace}/639731747
江阴新闻综合,${replace}/955227979
南通新闻综合,${replace}/955227985
宜兴新闻综合,${replace}/955227996
溧水新闻综合,${replace}/639737327
陕西银龄频道,${replace}/956909362
陕西都市青春频道,${replace}/956909358
陕西秦腔频道,${replace}/956909303
陕西新闻资讯频道,${replace}/956909289
财富天下,${replace}/956923159
镇江新闻综合,${replace}/639731783
辽宁广播电视台公共频道,${replace}/962045223
辽宁广播电视台生活频道,${replace}/962045226
辽宁广播电视台影视剧频道,${replace}/962067517
宁夏广播电视台文旅频道,${replace}/962067523
宁夏广播电视台经济频道,${replace}/962067520
经典香港电影,${replace}/625703337
抗战经典影片,${replace}/617432318
新片放映厅,${replace}/619495952
CHC影迷电影,${replace}/952383261
和美乡途轮播台,${replace}/713591450
南方影视,${replace}/614961829
中国天气,${replace}/959986621
山东教育,${replace}/609154353
熊猫频道01高清,${replace}/609158151
熊猫频道1,${replace}/608933610
熊猫频道2,${replace}/608933640
熊猫频道3,${replace}/608934619
熊猫频道4,${replace}/608934721
熊猫频道5,${replace}/608935104
熊猫频道6,${replace}/608935797
熊猫频道7,${replace}/609169286
熊猫频道8,${replace}/609169287
熊猫频道9,${replace}/609169226
熊猫频道10,${replace}/609169285
最强综艺趴,${replace}/629942228
嘉佳卡通,${replace}/614952364
经典动画大集合,${replace}/629942219
新动力量创一流,${replace}/713589837
中华特产,${replace}/959986618
环球旅游,${replace}/958475356
茶,${replace}/961930369
斯诺克 傅家俊常冰玉晋级 黄佳浩5-3吉米·怀特 【回放】傅家俊5-1许医尘 03:00,${replace}/962160134
斯诺克 傅家俊常冰玉晋级 黄佳浩5-3吉米·怀特 【回放】法拉赫·阿贾布5-4姚朋成 03:00,${replace}/962160865
斯诺克 傅家俊常冰玉晋级 黄佳浩5-3吉米·怀特 【回放】阿尔特米·齐津斯5-2刘文炜 03:00,${replace}/962160632
斯诺克 傅家俊常冰玉晋级 黄佳浩5-3吉米·怀特 【回放】黄佳浩5-3吉米·怀特 03:00,${replace}/962160579
斯诺克 傅家俊常冰玉晋级 黄佳浩5-3吉米·怀特 【回放】常冰玉5-1奥利弗·布朗 03:00,${replace}/962160337
斯诺克 傅家俊常冰玉晋级 黄佳浩5-3吉米·怀特 【回放】路易·希斯科特5-3恰查蓬·纳萨 03:00,${replace}/962160239
斯诺克 傅家俊常冰玉晋级 黄佳浩5-3吉米·怀特 【回放】利亚姆·海菲尔德5-0弗盖尔·奎因 03:00,${replace}/962160169
斯诺克 傅家俊常冰玉晋级 黄佳浩5-3吉米·怀特 【回放】布尔丘·雷维斯5-0瑞安·埃文斯 03:00,${replace}/962160140
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】德米纳尔2-0门希克 09:30,${replace}/962173464
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】亨特/史密斯2-0克雷吉茨科娃/门希克 09:30,${replace}/962174569
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】乔因特0-2克雷吉茨科娃 09:30,${replace}/962171976
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】阿利亚西姆0-2贝尔赫斯 09:30,${replace}/962162342
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】姆博科1-2梅尔滕斯 09:30,${replace}/962168306
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】姆博科/哈珀1-2梅尔滕斯/贝尔赫斯 09:30,${replace}/962170264
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】科博利1-2林德克内希 09:30,${replace}/962170418
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】保利尼2-0让让 09:30,${replace}/962171356
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】埃拉尼/瓦瓦索里2-0拉乔纳/瓦瑟林 09:30,${replace}/962173335
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】加拿大0-3比利时 09:30,${replace}/962173168
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】加拿大0-3比利时（英文解说） 09:30,${replace}/962173423
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 2026网球联合杯Day5全场回放：意大利2-1法国（英文解说） 09:30,${replace}/962176065
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 2026网球联合杯Day5全场回放：澳大利亚2-1捷克（英文解说） 09:30,${replace}/962175962
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】澳大利亚2-1捷克 09:30,${replace}/962175576
网球联合杯 加拿大0-3比利时 德米纳尔一日双胜 【回放】意大利2-1法国 09:30,${replace}/962175098
NBA 活塞VS尼克斯 全场回放（盛哲） 07:55,${replace}/962162366
NBA 活塞VS尼克斯 全场回放（英文原声） 07:55,${replace}/962166398
NBA 凯尔特人VS公牛 全场回放（蔡凯臣） 08:25,${replace}/962162749
NBA 凯尔特人VS公牛 全场回放（英文原声） 08:25,${replace}/962168380
NBA 猛龙VS老鹰 全场回放（刘芳宇） 08:25,${replace}/962164639
NBA 猛龙VS老鹰 全场回放（英文原声） 08:25,${replace}/962167036
NBA 雷霆VS黄蜂 全场回放（罗森） 08:55,${replace}/962165158
NBA 雷霆VS黄蜂 全场回放（英文原声） 08:55,${replace}/962167207
NBA 火箭VS太阳 全场回放（连睿、李根、周鹏、秋童） 08:55,${replace}/962166386
NBA 火箭VS太阳 全场回放（英文原声） 08:55,${replace}/962167969
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】梁伟铿/王昶1-2保木卓朗/小林优吾（孙宁智） 12:00,${replace}/962167026
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】梁伟铿/王昶1-2保木卓朗/小林优吾 12:00,${replace}/962167822
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】石宇奇2-0格姆克（余博洋） 12:00,${replace}/962171901
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】陈雨菲2-1碧查梦（孙宁智） 12:00,${replace}/962175400
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】陈雨菲2-1碧查梦 12:00,${replace}/962175582
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】安东森2-1骆建佑 12:00,${replace}/962173908
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】韩悦2-0金佳恩 12:00,${replace}/962173532
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】小波波夫1-2李卓耀 12:00,${replace}/962172020
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】金元浩/徐承宰2-0陈柏阳/刘毅（余博洋） 12:00,${replace}/962175655
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】刘圣书/谭宁2-0王曦曦/盖骆（鸿昆） 12:00,${replace}/962163384
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】郭新娃/陈芳卉2-0邓恩/麦克菲森（鸿昆） 12:00,${replace}/962169226
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】冯彦哲/黄东萍1-0黄天启/林秋仙（退赛）（余博洋） 12:00,${replace}/962168295
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】安洗莹2-1李文珊（孙宁智） 12:00,${replace}/962164553
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】安洗莹2-1李文珊 12:00,${replace}/962167222
BWF 石宇奇、陈雨菲取胜 凤凰、圣坛组合晋级 【回放】程星/张驰2-1绿川大辉/松山奈未（鸿昆） 12:00,${replace}/962166966
